;;;;;"пр. Дисциплина по выбору ""Олимпиадные задачи по математике""";;;"пр. Дисциплина по выбору ""Олимпиадные задачи по математике""";;;;;;;;;;;;;
;10.10-11.40 ;лек. Математический анализ;Фалалеев Михаил Валентинович, профессор;316;лек. Математический анализ;Фалалеев Михаил Валентинович, профессор;316;лек. Математический анализ;Фалалеев Михаил Валентинович, профессор;316;пр. История;Дмитриев Дмитрий Иванович, доцент;219;лек. Информатика и программирование;Зинченко Анна Сергеевна, доцент;318;лек. Информатика и программирование;Зинченко Анна Сергеевна, доцент;318;10.10-11.40 ;
;11.50-13.20 ;лек. Алгебра;Поплевко Василиса Павловна, доцент;203б;лек. Линейная алгебра;Дыхта Владимир Александрович, профессор;203б;лек. Линейная алгебра;Дыхта Владимир Александрович, профессор;203б;"лаб. Основы Web-программирования- 1 подгруппа
лаб.  Информатика и программирование-2 подгруппа";Петухин Вячеслав Алексеевич, доцент;ком.к.121;лаб. Информатика и программирование;Зинченко Анна Сергеевна, доцент;ком.к.122;пр. История;Дмитриев Дмитрий Иванович, доцент;219;11.50-13.20 ;
;;;;;;;;;;;;Парамонов Вячеслав Владимирович, доцент;к.кл. ЦНИТ3;;;;;;;;
;13.50-15.20 ;;;;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна;спорт. зал;"лаб. Информатика и программирование- 1 подгруппа
лаб.  Основы Web-программирования-2 подгруппа";Парамонов Вячеслав Владимирович, доцент;к.кл. ЦНИТ3;пр. Информатика и программирование;Зинченко Анна Сергеевна, доцент;ком.к.122;;;;13.50-15.20 ;
;;;;;;;;;;;;Петухин Вячеслав Алексеевич, доцент;ком.к.121;;;;;;;;
;15.30-17.00 ;;;;;;;;;;;;;;;;;;;15.30-17.00 ;
ЧЕТВЕРГ     ;08.30-10.00 ;лек. Аналитическая геометрия;Осипенко Лариса Анатольевна, доцент;322;пр. Информатика и программирование;Ульянов Владимир Сергеевич, доцент;ком.кл.123б;пр. Геометрия;Шеметова Людмила Николаевна, ст.преподаватель;327;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;;;;;;;08.30-10.00 ;ЧЕТВЕРГ     
;;;;;;;;;;;;;;;;;;;;;
;;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;пр. Аналитическая геометрия;Осипенко Лариса Анатольевна, доцент;322;лаб. Информатика и программирование;Ульянов Владимир Сергеевич, доцент;ком.кл.123б;пр. Геометрия;Шеметова Людмила Николаевна, ст.преподаватель;327;лек. Основы Web-программирования;Петухин Вячеслав Алексеевич, доцент;318;;;;пр. Иностранный язык;Малова Наталья Стефановна, доцент;319;10.10-11.40 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;лек. Информатика и программирование;Парамонов Вячеслав Владимирович, доцент;318;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;пр. Аналитическая геометрия;Осипенко Лариса Анатольевна, доцент;322;пр. Иностранный язык ;Петрова Наталья Васильевна, профессор;222;лаб. Информатика и программирование;Ильин Борис Петрович, ст. преподаватель;ком.кл.123б;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;пр. Иностранный язык;Малова Наталья Стефановна, доцент;319;11.50-13.20 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;;;;пр. Иностранный язык ;Петрова Наталья Васильевна, профессор;222;пр. Информатика и программирование;Ильин Борис Петрович, ст. преподаватель;ком.кл.123б;лек. Геометрия;Осипенко Лариса Анатольевна, доцент;223;;;;лек. Геометрия;Осипенко Лариса Анатольевна, доцент;223;13.50-15.20 ;
;;;;;;;;;;;;;;;;;;;;;
