;;02211-ДБ;;;02221-ДБ;;;02241-ДБ;;;02261-ДБ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15.30-17.00 ;;;;;;;;;;;;;15.30-17.00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 СРЕДА      ;08.30-10.00 ;лек. Математическая логика;Мартьянов Владимир Иванович, профессор;328;лек. Математическая логика;Мартьянов Владимир Иванович, профессор;328;лек. Математическая логика;Пантелеев Владимир Иннокентьевич, профессор;322;лек. Математическая логика;Пантелеев Владимир Иннокентьевич, профессор;322;08.30-10.00 ; СРЕДА      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;пр. Математический анализ;Марков Сергей Николаевич, доцент;320;лек. Дискретная математика;Лакеев Анатолий Валентинович, профессор;328;пр. Математическая логика;Пантелеев Владимир Иннокентьевич, профессор;322;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;10.10-11.40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;пр. Математический анализ;Марков Сергей Николаевич, доцент;320;пр. Дискретная математика;Лакеев Анатолий Валентинович, профессор;328;пр. Математический анализ;Гражданцева Елена Юрьевна, доцент;226;пр. Математическая логика;Пантелеев Владимир Иннокентьевич, профессор;322;11.50-13.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;;;;;;;13.50-15.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15.30-17.00 ;;;;;;;;;;;;;15.30-17.00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЧЕТВЕРГ     ;08.30-10.00 ;;;;пр. Математический анализ;Марков Сергей Николаевич, доцент;320;;;;лек. Языки программирования;Кириченко Константин Дмитриевич, доцент;225;08.30-10.00 ;ЧЕТВЕРГ     ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;;;;пр. Математический анализ;Марков Сергей Николаевич, доцент;320;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;лаб. Языки программирования;Кириченко Константин Дмитриевич, доцент;ком.к.122;10.10-11.40 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;лек. Математический анализ;Марков Сергей Николаевич, доцент;320;лек. Математический анализ;Марков Сергей Николаевич, доцент;320;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна,ст. преподаватель;спорт.зал;лек. Вычислительные системы и компьютерные сети;Казимиров Алексей Сергеевич, доцент;318;11.50-13.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;пр. Иностранный язык ;Байдаева Надежда Леонидовна, ст.преподаватель;124;;;;;;;лаб. Вычислительные системы и компьютерные сети;Казимиров Алексей Сергеевич, доцент;123а;13.50-15.20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
